,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate ®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.VOLATILITY260D/100,TR.RETURNONAVGTOTEQTYPCTNETINCOMEBEFOREEXTRAITEMS/100,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio,PERATIO
0,CRM.N,89.8030139935414,29.5630758327427,6.33656545036999,27.9725567068048,3.45410339450445,28.0945014765856,31.5508728019744,0.450485053630165,0.003571121985,0.002143689,0.7333503,0.0066343454963,0.170547816104,0.14269329472,6.4738675958,952.9349
2,ADBE.OQ,24.749099905303,21.8034339543938,9.70866264792489,24.8163581767379,12.4514170069138,22.7736690286009,24.5415454300023,0.434327358812011,0.329728230727,0.174833658052,0.8770306,0.270135181188231,0.258273432496,0.199614961496,56.5714285714,37.6563
5,IBM.N,22.3691975323757,13.6974540472326,2.66319408128319,13.7394483258814,5.41285078646647,11.3944494582206,47.5315385824153,0.232954128597812,0.090684294283,0.014287698076,0.5400297,0.027077482240211,2.104857819905,0.632986158695,6.7985197368,68.051
6,SAPG.DE,22.9514148852075,17.0058099361224,4.84093920897391,21.7762483910794,3.37071773386452,25.2577858575589,71.2435466928917,0.24291676049709,0.05779425347,0.023833444965,0.7180201,0.073985293641281,0.217787289106,0.156472922961,26.0721153846,59.07
7,AAPL.OQ,20.8497301787553,19.0762229748508,6.88655249795503,27.4944227505094,46.0523721387764,23.8944857166407,27.8682382674421,0.341501079762231,1.754592922065,0.283629150403,0.4330963,0.253096407051997,1.96895721503,0.581138383756,40.7495735244,27.5329
9,VMW.N,28.2523406748768,17.6740374637904,4.41079773358053,17.6171111042126,34.7318212838081,12.4409650565814,13.8100314285127,0.329771800269158,3.993920972644,0.043863602223,0.8140824,0.098426966292135,6.17926988266,0.78847113625,6.6776315789,40.2462
10,CSCO.OQ,12.7013361636259,11.1459569713216,3.77974763259109,13.9153234930057,5.16145356124739,13.3492838640922,33.5841839089519,0.286347260392128,0.291481591156,0.123363568478,0.6254825,0.229105650057218,0.211600834737,0.17075150138,38.9972222222,18.8408
12,HPE.N,11.9563852716659,5.64128601694915,1.05954175631952,7.70324377647537,1.03249262905137,5.375831587875,24.7758352955051,0.325657796867454,0.043579766537,0.01511905384,0.3335907,0.030460415496912,0.395338300443,0.24257119911,10.5545023697,24.4357
13,6758.T,15.1909455554766,8.67636858566493,1.60289399955523,16.9813912856006,2.23642047387391,44.0105676892806,20.8803212174806,0.299131729597185,0.127622404178,0.030640601178,0.2723044,0.088915672438266,0.168472375352,0.114102030201,76.1915068493,17.0
14,7974.T,10.6360588265065,10.4504659142332,2.96065395943827,15.0954307181512,2.74925383271122,23.0047482747073,145.898676109306,0.251550082999622,0.242273765252,0.186998145735,0.5580254,0.281767594069404,0.002461523293,0.002453814518,2109.4661921708,16.15
16,NOW.N,213.060676056338,95.9854568527919,12.5713512767426,50.4471879644073,18.7367494117996,34.4742710246053,43.5282030371464,0.50643161719905,0.074481494213,0.026974312155,0.7828847,0.044858523119393,0.295310015898,0.227984044185,13.1481481481,275.2591
20,INTU.OQ,51.4617178118436,39.887873528565,9.50613847098947,32.265371699861,7.89863744728694,29.2849447054601,43.87239085233,0.454230012001338,0.157050551121,0.095537572254,0.8109382,0.162344805909162,0.390183078888,0.274673517448,31.7407407407,64.6104
31,GOOGL.OQ,13.9793283183239,11.5261580240385,4.35347151706289,20.4479103627321,5.203427642274,14.5195924367452,22.7459268457154,0.389713594106968,0.236212998174,0.165546863355,0.5537944,0.21203807153262,0.057393497408,0.054218622646,209.6414565826,22.152
35,ZI.OQ,70.1097846123908,47.3952492287454,9.72240284371586,25.2232940335834,4.39497413581812,23.9453197179856,25.6836580427948,0.704229101408023,0.029603953439,0.009035477115,0.8285974,0.057559198542805,0.543929923409,0.352302209551,3.8487394958,155.9088
49,AKAM.OQ,20.3019059625338,11.0718926575824,3.71021445684325,14.3374032271059,2.81032543008332,9.60135748707907,15.3906985032374,0.303498202892239,0.117808809947,0.06462773885,0.6173759,0.144794608497246,0.524119263692,0.343883366727,64.0807498198,23.4073
